index,premise,hypothesis,original_index
1790,A little boy is squatting down looking at colorful pieces of paper while grownup look on.,A child is standing outside while his parents watch.,5511
1791,A bagpipe street performer in front of a store window.,The street performer is playing with fire.,5516
1792,The lady is putting colored lipstick on her lips in the mirror.,A man checks his hair in the mirror.,5518
1793,A basketball player attempts a layup in a gymnasium.,A surfer is catching a huge wave.,5520
1794,"Three boy scouts give presentations on a stage with two tents, a bench, and an American flag behind them.",girl eats cupcake,5522
1795,A show horse being ridden by a woman in jockey clothes is about to jump over a white steeple on a green field in front of a parking lot with camper vans in it.,The horse is riding the woman.,5525
1796,Three shirtless boys are playing in the water.,children playing hockey,5529
1797,The person with the tattoos is holding a dirty frying pan.,The person with tattoos hit someone on the head with the pan.,5530
1798,A male surgeon wearing a red cap and teal scrubs performing surgery with two other men wearing teal scrubs.,A woman feeds the man.,5532
1799,A group of children play in a public fountain while others sit where it is dryer.,Children take a nap in school.,5535
1800,Two women are going down a water ride at Busch Gardens.,The women are stuck in the hot office all day,5541
1801,A little girl in blue is watching a little boy in black swing at a disney princess pinata.,A sister watches her brother running around.,5542
1802,"A man in a blue-plaid shirt and white hat, backdropped by a stone wall performs an unknown task while standing atop a platform.",The man is sitting in the audience.,5544
1803,The man is wearing a red jacket and standing next to a bicycle.,A man with a blue jacket is driving a car.,5547
1804,"A woman is on her hands and knees on a dirt field, while a man in a costume is kicking one of his legs toward her face.",The couple are attending sunday services at the church,5548
1805,a person in pink pants playing a guitar,There is someone playing the clarinet.,5551
1806,Two couples sitting at separate tables eating in a restaurant.,There is nobody in the restaurant.,5552
1807,A group of people are having a discussion in a circle formation.,The group is asleep in bed.,5553
1808,People are standing on the sidewalk of a street.,People are swimming in the ocean.,5558
1809,A little girl wearing a brown jacket is looking at bubbles.,A girl watches a bird.,5559
1810,A boy in a sports uniform chasing a soccer ball,A boy is sleeping.,5563
1811,A skier slides along a metal rail.,A skier is away from the rail.,5566
1812,A man putting wood on top of a house.,A man falls off a house.,5568
1813,A group of nine performers on a stage are shown holding guitars and wearing black and red costumes.,A string quartet is practicing in a small room.,5576
1814,A man wearing a black hat and three colored wristbands holds a microphone to his mouth.,A man is sitting in the park and reading.,5583
1815,A dog is running through the water with an orange object in its mouth.,A dog in an agility course.,5585
1816,A young man wearing a white glove standing on the side of a road.An o,A young woman wearing a white glove standing on the side of a road.,5586
1817,"A young couple is sitting on a sidewalk with their helmets, in front of a motor scooter.",A kid is sitting with his helmet in front of a motor scooter.,5593
1818,A man with headphones holds a microphone.,A man is playing piano.,5596
1819,"An old man with a multicolored hat standing is standing front of a earth toned mosaic sign, with foreign language in the tiles.",The woman brings in a casserole from the kitchen.,5599
1820,A girl in a plaid shirt is jumping in front of a bench.,A girl jumps off the high dive.,5603
1821,"Man with goatee, wearing a Las Vegas T-shirt barbecuing outside at a grill.",A man with no facial hair is grilling.,5610
1822,A dirt biker with number 625 is racing on a course.,The dirt biker is walking alongside their bike.,5611
1823,A man is singing at a concert.,The woman is made of sand,5612
1824,Two guys in coats laugh while walking down a street.,A couple of guys are sitting on the beach at the ocean.,5627
1825,Four young men and three young women playing a card game at a table.,The people are playing charades,5628
1826,A young girl in a blue dress walks holding her shoes next to a small stream of water.,A girl is watching tv.,5634
1827,People sitting and walking along the street of a city.,The people are in the ocean.,5636
1828,An Asian man in an orange jacket carries a high stack of boxes.,The lady mails the boxes to Japan.,5637
1829,A small boy is working on a project while an older man looks on.,A teacher is demonstrating for the student.,5642
1830,Girl playing flute as she walks by fence in rural area.,Girl cooking dinner.,5647
1831,A caucasian man wearing a short-sleeved black shirt and a dark-skinned woman wearing a sleeveless dress are working at a conveyor.,The man and woman are fishing together.,5651
1832,A girl in black sits on a lawn by a stone wall with another person in a rust-colored shirt.,The girl is sitting on the couch by herself.,5654
1833,A single person on a bike rides through a dirt path past a wooded area.,The bike has a flat,5657
1834,A group of men are changing the shells on a cannon.,The men are eating their meals.,5666
1835,Two men with no shirts jumping over a rail.,A group of only women wearing snowsuits are jumping over a rail.,5669
1836,Two kids look into the forest,kids are deep ocean swimming,5670
1837,A man with gray hair and a blond woman sitting on the same side of a table with bikes in the background.,The man and woman are watching television.,5671
1838,A man cleaning the floor.,The man is sleeping.,5672
1839,Children are playing with baseball bats.,Men are playing with baseball bats.,5673
1840,Man does a split in midair by a lovely pool.,two houses are opposite each other,5675
1841,Four men sitting in front of a desk having a meeting.,Four women at a meeting,5680
1842,An Asian young woman is working with flower while surrounding by her peers.,The woman is working at home.,5682
1843,Two sumo wrestlers wrestling in a sand ring.,Sumo wrestlers are eating.,5684
1844,A small child wearing a red winter cap and a blue and black snowsuit pushing a plow through snow.,Some people discuss about something.,5689
1845,A girl is biking over the street.,A boy is on a tricycle in the driveway.,5691
1846,An old man wearing a red suit stands in a large social gathering.,The man is 10 years old,5696
1847,Friends laughing about something they have just witnessed.,A young girl cries.,5697
1848,The white dog trotted in the snow.,A dog is lying in the sun,5699
1849,A little boy crawls along the surface of a big rock.,A boy plays in his room.,5703
1850,Three hockey players are fighting over the puck near the goal.,A hockey player makes a goal.,5709
1851,A person dressed in black is walking eleven dogs on a sidewalk.,a person dressed in white is walking dogs through a field.,5711
1852,Smiling woman holding a piece of cloth.,The woman was visually upset.,5712
